primary_row,account_code,primary_description,primary_month_sample_F,primary_month_sample_Q,cluster_id,source_status,candidate_source_file,candidate_sheet,candidate_row,candidate_cell_or_column,evidence_summary_nontech,why_not_implemented,manual_check_instruction,implementable_now,needed_action
155,5005116292,大使館の手数料,,,C4_travel_allocation,TEMPLATE_ONLY,raw\FORM.xlsx,内訳ﾘｽﾄ(4～3月),,row-level scan,"exact description: 5005116292 | =IFERROR(IF(VLOOKUP($B158,勘定科目!$A:$H,HLOOKUP($E$5,勘定科目!$F$1:$H$2,2,0),0)="""","""",VLOOKUP($B158,勘定科目!$A:$E,2,0)),"""") | =IF(C158="""","""",VLOOKUP($B158,勘定",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
156,5005116292,,,,C4_travel_allocation,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
158,5005056281,ガス代,=18*39309,=19*44420,C_OTHER,EXACT_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,"exact description: 5005056281 | ガス代（製） | Chi phi dịch vụ mua ngoài | 水道光熱費 | Chi phí Utilities(điện,nước..) | 5005056281",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,verify source row has CC 1412000040 and monthly values; then plan implementation
159,5005066281,電気代,1577160,1203521,C_OTHER,EXACT_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,"exact description: 5005066281 | 電気代（製） | Chi phi dịch vụ mua ngoài | 水道光熱費 | Chi phí Utilities(điện,nước..) | 5005066281",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,verify source row has CC 1412000040 and monthly values; then plan implementation
160,5005066282,水道代,529671,637935,C_OTHER,EXACT_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,勘定科目,,row-level scan,"exact description: 5005066282 | 水道代（製） | Chi phi dịch vụ mua ngoài | 水道光熱費 | Chi phí Utilities(điện,nước..) | 5005066282",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,verify source row has CC 1412000040 and monthly values; then plan implementation
162,5005046281,Flash Programmer (model FP-40),,,C3_tools_fixed_assets_5005046281,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,Fixed assets list,,row-level scan,fuzzy token: 83 | 140000101 | 0 | 140000101 | MuCell SCF System T-200 Model 450Ton | 1412000011 | Factory (B/1F) | 1412000056 | Parts Manufactur Sec | 1412000056 | Parts Man,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
163,5005046281,FP-10予備 （FP-10 Cortex-M3-INT）,,,C3_tools_fixed_assets_5005046281,PARTIAL_SOURCE_FOUND,raw\source_file_order.csv,csv,2,row-level scan,"fuzzy token: 1,facility,施設課 MPFY2027.xlsx,1,Facility depreciation interest electric water source",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
164,5005046281,治具PC用の予備Hard disk/充電器cable,,,C3_tools_fixed_assets_5005046281,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
165,5005046281,"半田ゴテ FM2028-01 960,000VND",,,C3_tools_fixed_assets_5005046281,PARTIAL_SOURCE_FOUND,raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,部門別サマリー(VND),41,row-level scan,fuzzy token: 工程品質管理4課 | 1412000075.0 | 5005246282.0 | - | - | - | 2116816.0 | 4043677.0 | - | - | 59114.0 | 6219607.0,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
166,5005046281,"JIGのhinge(TH-91) 416,000VND",,,C3_tools_fixed_assets_5005046281,PARTIAL_SOURCE_FOUND,raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Chi phí sinh nhật,,row-level scan,"fuzzy token: Công thức = (2 người(trong file ở đầu) + 1 người mới )* 152,000VND",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
167,5005046281,静電気防止ストラップ,,,C3_tools_fixed_assets_5005046281,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
168,5005046281,Tonerセンサー半田ゴテ先,,,C3_tools_fixed_assets_5005046281,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
169,5005046281,"治具のSpring(25,871vnd)",,,C3_tools_fixed_assets_5005046281,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
170,5005046281,FT CIS connectのFFC(2$),,,C3_tools_fixed_assets_5005046281,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B147) | MFG)MOLD | 160005657 | HOLDER CIS (K30C0D1710001MP+502+NEW) | 30C0D17100 | 2024-02-23 00:00:00 | 002 | 1412000022 | Purch Management Se",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
171,5005046281,ROMライター実装ベンダ支給用TEF003-48TS(FSG),,,C3_tools_fixed_assets_5005046281,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
172,5005046281,brazil FAX DL 治具改造のPart,,,C3_tools_fixed_assets_5005046281,PARTIAL_SOURCE_FOUND,raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,2025.11,,row-level scan,"fuzzy token: =SUBTOTAL(3,$B$5:B986) | MFG)TOOLS FURNITURE AND FIXTURES | 170002266 | THIET BI DO THONG MACH CHIU AP 6THA3 BRAZIL | | 2024-04-25 00:00:00 | 003 | 1412000084",not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
173,5005046281,Tonerセンサー半田ゴテ先のPIN(20pcs日本から発送),,,C3_tools_fixed_assets_5005046281,SOURCE_NOT_FOUND,,,,row-level scan,no source hit,not enough exact source-to-output monthly mapping for safe code generation,"Open candidate file/sheet/row and confirm account, CC 1412000040, Apr-Mar values, and output order.",NO,provide exact source row/cell and Apr-Mar values before coding
